0 0.0392 0.032 0.034 
50 0.0 0.0 0.0 
100 0.0 0.0012 0.002 
150 0.1844 0.2536 0.1744 
200 0.2952 0.3988 0.306 
250 0.2944 0.41 0.2956 
300 0.2964 0.4144 0.2892 
350 0.2964 0.4168 0.2868 
400 0.3032 0.42 0.2768 
450 0.3096 0.4168 0.2736 
500 0.3076 0.42 0.2724 
550 0.3096 0.4188 0.2716 
600 0.3072 0.4252 0.2676 
650 0.31 0.4268 0.2632 
700 0.3088 0.4344 0.2568 
750 0.3092 0.4372 0.2536 
800 0.3144 0.4432 0.2424 
850 0.3168 0.4484 0.2348 
900 0.32 0.456 0.224 
950 0.3264 0.4596 0.214 
1000 0.3352 0.464 0.2008 
1050 0.3404 0.4724 0.1872 
1100 0.3516 0.4768 0.1716 
1150 0.3648 0.4688 0.1664 
1200 0.378 0.4584 0.1636 
1250 0.394 0.4444 0.1616 
1300 0.4168 0.4256 0.1576 
1350 0.4336 0.4144 0.152 
1400 0.45 0.4076 0.1424 
1450 0.4592 0.3988 0.142 
1500 0.4548 0.3928 0.1524 
1550 0.4584 0.3804 0.1612 
1600 0.46 0.3736 0.1664 
1650 0.4596 0.3692 0.1712 
1700 0.4608 0.3604 0.1788 
1750 0.4592 0.356 0.1848 
1800 0.46 0.3488 0.1912 
1850 0.46 0.3432 0.1968 
1900 0.4628 0.3376 0.1996 
1950 0.4708 0.328 0.2012 
2000 0.4724 0.322 0.2056 
2050 0.4772 0.3144 0.2084 
2100 0.4844 0.3028 0.2128 
2150 0.4924 0.2896 0.218 
2200 0.5064 0.2712 0.2224 
2250 0.5196 0.254 0.2264 
2300 0.5284 0.2396 0.232 
2350 0.5364 0.226 0.2376 
2400 0.5476 0.2108 0.2416 
2450 0.5568 0.1952 0.248 
2500 0.564 0.18 0.256 
2550 0.5824 0.1552 0.2624 
2600 0.5976 0.1308 0.2716 
2650 0.5964 0.122 0.2816 
2700 0.5952 0.1116 0.2932 
2750 0.5888 0.1048 0.3064 
2800 0.5804 0.0968 0.3228 
2850 0.5644 0.0896 0.346 
2900 0.5332 0.0804 0.3864 
2950 0.5004 0.0724 0.4272 
3000 0.472 0.0632 0.4648 
3050 0.466 0.0508 0.4832 
3100 0.47 0.0352 0.4948 
3150 0.4672 0.028 0.5048 
3200 0.4576 0.0272 0.5152 
3250 0.4492 0.0292 0.5216 
3300 0.4376 0.0332 0.5292 
3350 0.4328 0.0372 0.53 
3400 0.4232 0.0448 0.532 
3450 0.4096 0.054 0.5364 
3500 0.3984 0.0656 0.536 
3550 0.3904 0.0792 0.5304 
3600 0.3772 0.0952 0.5276 
3650 0.3676 0.1108 0.5216 
3700 0.3516 0.1228 0.5256 
3750 0.3368 0.1336 0.5296 
3800 0.3188 0.1436 0.5376 
3850 0.2984 0.156 0.5456 
3900 0.2748 0.166 0.5592 
3950 0.2404 0.1736 0.586 
4000 0.2084 0.1848 0.6068 
4050 0.1848 0.1944 0.6208 
4100 0.158 0.204 0.638 
4150 0.1296 0.2132 0.6572 
4200 0.11 0.2228 0.6672 
4250 0.0948 0.2332 0.672 
4300 0.0824 0.2444 0.6732 
4350 0.0712 0.2604 0.6684 
4400 0.0572 0.2748 0.668 
4450 0.046 0.29 0.664 
4500 0.0348 0.3056 0.6596 
4550 0.0228 0.3264 0.6508 
4600 0.0152 0.3524 0.6324 
4650 0.0108 0.3948 0.5944 
4700 0.0092 0.4264 0.5644 
4750 0.0076 0.4484 0.544 
4800 0.006 0.4684 0.5256 
4850 0.0048 0.4824 0.5128 
4900 0.0044 0.5008 0.4948 
4950 0.0036 0.5144 0.482 
5000 0.0032 0.5252 0.4716 
5050 0.0032 0.5408 0.456 
5100 0.0036 0.5512 0.4452 
5150 0.0036 0.5652 0.4312 
5200 0.0028 0.5764 0.4208 
5250 0.0024 0.5936 0.404 
5300 0.0036 0.6036 0.3928 
5350 0.0048 0.6168 0.3784 
5400 0.0084 0.6308 0.3608 
5450 0.0144 0.6368 0.3488 
5500 0.0228 0.6464 0.3308 
5550 0.0312 0.6568 0.312 
5600 0.0456 0.662 0.2924 
5650 0.0592 0.6656 0.2752 
5700 0.074 0.6756 0.2504 
5750 0.0888 0.6928 0.2184 
5800 0.1016 0.7088 0.1896 
5850 0.114 0.74 0.146 
5900 0.1268 0.794 0.0792 
5950 0.14 0.8076 0.0524 
6000 0.1524 0.8164 0.0312 
6050 0.1648 0.8236 0.0116 
6100 0.1784 0.8216 0.0 
6150 0.1896 0.8104 0.0 
6200 0.2028 0.7972 0.0 
6250 0.2168 0.7832 0.0 
6300 0.23 0.77 0.0 
6350 0.2448 0.7552 0.0 
6400 0.26 0.74 0.0 
6450 0.2748 0.7252 0.0 
6500 0.2908 0.7092 0.0 
6550 0.3092 0.6908 0.0 
6600 0.3268 0.6732 0.0 
6650 0.3484 0.6516 0.0 
6700 0.3736 0.6264 0.0 
6750 0.4044 0.5956 0.0 
6800 0.4364 0.5636 0.0 
6850 0.4576 0.5424 0.0 
6900 0.4796 0.5204 0.0 
6950 0.4948 0.5052 0.0 
7000 0.5132 0.4868 0.0 
7050 0.532 0.468 0.0 
7100 0.548 0.452 0.0 
7150 0.5612 0.4388 0.0 
7200 0.5788 0.4212 0.0 
7250 0.5912 0.4088 0.0 
7300 0.6064 0.3936 0.0 
7350 0.6244 0.3756 0.0 
7400 0.6376 0.3624 0.0 
7450 0.6532 0.3468 0.0 
7500 0.6696 0.3304 0.0 
7550 0.6836 0.3164 0.0 
7600 0.7016 0.2984 0.0 
7650 0.7168 0.2832 0.0 
